Name,Disaster,Costs,Deaths,Year,Month
Southern Severe Storms and Flooding (April 1980),Flooding,2551.4,7,1980,4
Hurricane Allen (August 1980),Tropical Cyclone,2071,13,1980,8
Central/Eastern Drought/Heat Wave (Summer-Fall 1980),Drought,37675.2,1260,1980,11
Florida Freeze (January 1981),Freeze,1921.9,0,1981,1
"Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)",Severe Storm,1304.7,20,1981,5
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,2052.4,85,1982,1
Midwest/Plains/Southeast Tornadoes (April 1982),Severe Storm,1488.4,33,1982,4
Severe Storms (June 1982),Severe Storm,1464.1,30,1982,6
Gulf States Storms and Flooding (December 1982-January 1983),Flooding,4577.5,45,1983,1
Western Storms and Flooding (December 1982-March 1983),Flooding,4468.9,50,1983,3
Hurricane Alicia (August 1983),Tropical Cyclone,8760,21,1983,8
Southeast Drought (Summer 1983),Drought,8862.6,0,1983,8
Freeze / Cold Wave (December 1983),Freeze,5997.6,151,1983,12
"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,1718.8,80,1984,4
Severe Storms and Hail (June 1984),Severe Storm,1258.3,1,1984,6
"Winter Storm, Cold Wave (January 1985)",Winter Storm,2319.3,150,1985,1
Florida Freeze (January 1985),Freeze,3324,0,1985,1
Ohio and Pennsylvania Tornado Outbreak (June 1985),Severe Storm,1632,89,1985,5
Hurricane Elena (September 1985),Tropical Cyclone,3515.9,4,1985,9
Hurricane Gloria (September 1985),Tropical Cyclone,2311.5,11,1985,9
Hurricane Juan (October 1985),Tropical Cyclone,4026.2,63,1985,10
"Virginia, West Virginia, Pennsylvania and Maryland Flooding (November 1985)",Flooding,3752,62,1985,11
Western Severe Storms and Flooding (February 1986),Severe Storm,1414.6,13,1986,2
Southeast Drought/Heat Wave (Summer 1986),Drought,4815.7,100,1986,8
U.S. Drought/Heat Wave (Summer 1988),Drought,50609.9,454,1988,8
Southern Derecho and Severe Storms (May 1989),Severe Storm,1301.5,21,1989,5
Tropical Storm Allison (June 1989),Tropical Cyclone,1380.6,11,1989,6
Hurricane Hugo (September 1989),Tropical Cyclone,21059.8,86,1989,9
Northern Plains Drought (Summer-Fall 1989),Drought,7237.7,0,1989,11
Florida Freeze (December 1989),Freeze,4820,10,1989,12
"Winter Storm, Cold Wave (December 1989)",Winter Storm,1577.8,100,1989,12
Southern Flooding (May 1990),Flooding,2275.6,13,1990,5
Colorado Hail Storm (July 1990),Severe Storm,1836.9,0,1990,7
Western Fire Season (Summer 1990),Wildfire,1587.3,17,1990,8
California Freeze (December 1990),Freeze,7786,0,1990,12
"Severe Storms, Tornadoes (March 1991)",Severe Storm,1399.5,0,1991,3
Hurricane Bob (August 1991),Tropical Cyclone,3216.3,18,1991,8
U.S. Drought (Spring-Summer 1991),Drought,6528.5,0,1991,8
Oakland Firestorm (October 1991),Wildfire,7029,25,1991,10
Severe Storms (March 1992),Severe Storm,1689.1,0,1992,3
"Hail, Tornadoes (April 1992)",Severe Storm,2004.3,0,1992,4
"Severe Storms, Hail (June 1992)",Severe Storm,1555.8,0,1992,6
Hurricane Andrew (August 1992),Tropical Cyclone,55890,61,1992,8
Hurricane Iniki (September 1992),Tropical Cyclone,6417,7,1992,9
Southeast Severe Weather (November 1992),Severe Storm,1353.2,26,1992,11
Northeast Winter Storm (December 1992),Winter Storm,5115.1,19,1992,12
East Coast Blizzard and Severe Weather (March 1993),Winter Storm,11275.2,270,1993,3
Northern Plains and Ohio Valley Severe Weather (July 1993),Severe Storm,1300.9,1,1993,7
Midwest Flooding (Summer 1993),Flooding,42969.9,48,1993,8
Southeast Drought and Heat Wave (Summer 1993),Drought,2578.9,16,1993,8
California Wildfires (Fall 1993),Wildfire,2756.7,4,1993,11
